miRNA,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
hsa-miR-3162-3p,0,0,2,2,42,2,2,13,2,0,6,0,4,0,13,10,1
hsa-miR-3163,0,0,5,0,22,0,5,0,7,2,18,0,17,3,7,15,0
hsa-miR-3164,0,0,1,2,6,0,0,5,0,4,4,0,3,7,2,2,0
hsa-miR-3165,0,0,0,4,18,1,1,0,5,10,8,4,1,2,6,0,8
hsa-miR-3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1260b,1,8,112,640,690,13,392,655,455,597,459,180,337,688,474,200,59
hsa-miR-3167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3169,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
hsa-miR-3170,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-3171,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
hsa-miR-3173-5p,0,0,7,3,4,0,5,1,6,2,7,2,6,4,10,0,0
hsa-miR-3173-3p,0,1,0,5,7,2,3,2,5,0,0,1,6,1,2,11,0
hsa-miR-1193,0,0,0,1,0,0,5,0,0,0,2,0,3,0,2,0,0
hsa-miR-323b-5p,0,0,2,0,0,0,8,0,1,5,11,0,0,1,1,7,0
hsa-miR-323b-3p,2,21,384,473,1096,31,721,544,400,1101,425,73,1205,1424,927,143,51
hsa-miR-3174,2,1,14,31,28,0,10,17,26,42,19,7,30,40,34,28,9
hsa-miR-3175,0,0,1,4,7,0,0,2,0,2,1,0,3,0,2,2,0
hsa-miR-3176,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,5,0
hsa-miR-3177-5p,0,0,0,2,8,0,6,2,0,0,0,0,3,0,4,3,0
hsa-miR-3177-3p,0,1,10,33,51,0,23,22,13,7,25,1,7,23,23,17,0
hsa-miR-3178,0,0,0,1,7,0,0,0,0,0,3,0,0,0,1,13,0
hsa-miR-3179,0,0,3,15,86,0,13,13,10,14,18,2,21,9,22,34,22
hsa-miR-3180-5p,0,0,5,0,32,1,5,1,9,8,7,2,14,10,19,14,11
hsa-miR-3180-3p,0,0,19,4,28,0,2,8,6,6,12,1,3,2,10,4,1
hsa-miR-548w,0,1,16,45,122,0,60,59,211,107,92,47,32,94,86,28,34
hsa-miR-3181,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,5,0
hsa-miR-3182,3,6,116,75,349,11,306,91,135,193,83,22,193,357,368,738,181
hsa-miR-3183,0,1,1,7,13,1,3,4,1,5,5,0,4,12,8,4,0
hsa-miR-3184-5p,0,0,20,48,339,1,51,41,70,53,107,15,32,50,74,13,8
hsa-miR-3184-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3185,0,0,4,0,0,0,0,0,0,0,0,0,0,6,2,9,0
hsa-miR-3065-5p,1,5,84,526,1408,25,489,493,307,1966,597,245,374,629,713,519,320
hsa-miR-3065-3p,0,0,1,7,9,0,3,7,3,23,11,8,8,1,13,0,0
hsa-miR-3186-5p,0,0,0,0,4,0,0,0,0,0,0,2,3,1,4,0,0
hsa-miR-3186-3p,0,0,3,1,4,5,7,6,13,7,9,1,5,4,11,22,22
hsa-miR-3187-5p,0,0,6,7,6,0,3,0,2,10,2,1,4,2,5,0,0
hsa-miR-3187-3p,0,0,2,40,107,2,35,17,18,90,44,12,52,46,77,38,10
hsa-miR-3188,2,4,61,118,51,1,27,56,16,41,47,10,3,51,28,29,1
hsa-miR-3189-5p,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0
hsa-miR-3189-3p,0,0,0,0,9,0,0,3,0,0,1,0,0,0,0,6,0
hsa-miR-320e,0,1,3,6,4,0,0,1,0,3,0,0,0,10,6,8,24
hsa-miR-3190-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3190-3p,0,0,0,2,2,0,8,2,3,8,2,0,8,14,4,5,0
hsa-miR-3191-5p,0,0,0,1,0,0,1,0,1,0,3,0,1,3,4,0,0
hsa-miR-3191-3p,0,0,17,21,21,1,22,9,5,31,2,0,12,15,14,20,9
hsa-miR-3192-5p,0,0,10,7,0,0,16,12,0,11,7,1,9,11,14,8,0
hsa-miR-3192-3p,0,1,7,6,60,10,9,9,10,1,11,1,7,40,14,48,15
hsa-miR-3193,0,0,0,0,13,0,0,0,5,2,0,0,1,0,0,0,5
hsa-miR-3194-5p,0,0,5,4,8,0,4,6,3,33,6,2,4,8,20,12,5
hsa-miR-3194-3p,0,0,0,1,5,0,0,0,2,1,0,0,0,0,0,0,0
hsa-miR-3195,0,0,0,0,14,0,9,0,4,7,0,1,5,8,7,34,3
hsa-miR-3196,0,1,26,46,76,0,57,72,16,26,35,4,37,36,90,41,6
hsa-miR-548x-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548x-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3197,0,0,0,0,9,2,0,0,1,0,0,0,0,1,0,0,0
hsa-miR-3198,0,0,8,2,11,0,13,3,10,18,11,1,8,11,17,4,5
hsa-miR-3199,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,17,0
hsa-miR-3200-5p,0,2,52,92,496,12,378,57,93,141,166,20,103,59,78,86,42
hsa-miR-3200-3p,0,0,0,3,42,0,0,0,8,10,3,1,14,5,2,6,0
hsa-miR-3201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-514b-5p,0,0,0,4,2,0,2,1,4,3,2,0,1,0,1,19,0
hsa-miR-514b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3202,0,0,6,5,39,5,1,1,2,2,4,1,2,0,7,13,0
hsv2-miR-H5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,7,0
hsv2-miR-H6-5p,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,3,0
hsv2-miR-H6-3p,0,0,0,0,7,2,0,2,0,0,1,0,0,1,2,13,0
hsa-miR-4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-378c,0,3,33,157,571,15,162,91,78,178,226,85,177,173,189,224,38
hsa-miR-4293,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-4294,0,0,20,2,0,0,0,1,0,2,0,0,4,0,36,0,0
hsa-miR-4301,0,0,11,1,11,2,2,0,5,1,13,0,1,11,8,7,0
hsa-miR-4299,0,0,2,0,0,0,1,0,4,0,0,0,0,0,1,3,0
hsa-miR-4298,1,0,62,55,72,4,19,30,16,71,29,10,24,53,48,49,18
hsa-miR-4300,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4302,0,0,0,0,15,0,0,1,0,0,0,0,1,0,0,0,0
hsa-miR-4303,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-4305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-4309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4307,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-4308,0,0,0,0,7,0,0,0,2,2,0,0,0,0,0,2,0
hsa-miR-4310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4311,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
hsa-miR-4312,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
hsa-miR-4313,0,0,0,0,5,0,1,0,0,1,1,0,2,0,3,0,0
hsa-miR-4315,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-4316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4314,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
hsa-miR-4318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4317,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-4322,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
hsa-miR-4321,0,0,0,3,0,0,2,0,0,1,0,0,0,2,1,0,0
hsa-miR-4323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-4324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4257,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0
hsa-miR-4258,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,5,0
hsa-miR-4259,0,1,13,7,58,6,5,9,17,4,15,1,5,5,11,21,20
hsa-miR-4260,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,1,0
hsa-miR-4253,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
hsa-miR-4251,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-4254,2,0,0,0,4,0,5,0,4,0,0,0,0,5,0,6,0
hsa-miR-4255,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,9,9
hsa-miR-4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
hsa-miR-4325,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4326,0,0,0,2,3,0,2,0,0,2,0,0,1,1,2,3,11
hsa-miR-4327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4265,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,6,0
hsa-miR-4266,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2355-5p,0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0
hsa-miR-2355-3p,1,1,13,58,70,2,42,40,37,135,41,27,56,60,56,44,23
hsa-miR-4268,0,0,0,1,0,0,2,0,9,3,5,0,0,0,0,0,0
hsa-miR-4269,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0
hsa-miR-4263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4270,0,0,6,1,12,3,3,1,0,0,6,0,3,6,3,27,6
hsa-miR-4271,0,0,8,0,12,0,2,0,0,1,2,0,1,2,5,10,0
hsa-miR-4272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-4276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
hsa-miR-4281,0,0,4,0,0,1,5,0,6,0,0,0,6,14,15,211,4
hsa-miR-4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4279,0,0,0,0,0,0,2,0,2,0,1,0,1,2,2,0,0
hsa-miR-4278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4286,0,0,5,36,20,0,6,23,2,11,10,0,3,9,9,0,1
hsa-miR-4287,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-4288,0,0,0,0,3,0,0,2,3,1,0,1,0,4,5,5,0
hsa-miR-4292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-4289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4290,0,0,3,6,11,3,0,1,0,5,2,0,3,7,6,26,0
hsa-miR-4291,0,0,6,8,1,0,2,11,1,16,15,0,4,16,11,26,9
hsa-miR-4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4330,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
hsa-miR-500b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-500b-3p,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-4328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3605-5p,0,0,11,28,44,0,8,5,4,16,27,1,15,15,18,23,4
hsa-miR-3605-3p,2,4,61,89,435,12,80,85,77,184,152,32,129,122,181,171,59
hsa-miR-3606-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3606-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-3609,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0
hsa-miR-3610,0,0,0,0,3,0,1,0,0,4,2,0,0,0,0,0,0
hsa-miR-3611,0,1,12,45,198,2,59,36,86,336,64,48,121,137,164,158,48
hsa-miR-3612,0,0,3,0,4,0,3,2,9,2,4,0,5,4,0,15,12
hsa-miR-3613-5p,0,1,14,32,505,1,87,17,69,119,213,27,111,48,53,182,59
hsa-miR-3613-3p,0,3,39,12,67,3,15,25,19,34,29,13,4,38,12,80,23
hsa-miR-3614-5p,0,2,0,4,15,0,8,0,0,3,2,3,1,4,14,0,0
hsa-miR-3614-3p,2,0,4,11,70,7,14,15,36,13,28,7,43,44,16,63,12
hsa-miR-3615,2,5,42,99,1165,27,153,50,110,162,448,52,244,188,365,108,68
hsa-miR-3616-5p,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,2,9
hsa-miR-3616-3p,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
hsa-miR-3617-5p,3,1,45,81,125,4,136,334,161,172,294,39,142,233,211,113,137
hsa-miR-3617-3p,0,0,4,5,53,10,4,13,14,8,14,2,4,5,6,47,45
hsa-miR-3618,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-3619-5p,0,0,0,1,1,0,0,0,2,0,4,0,0,0,1,0,0
hsa-miR-3619-3p,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
hsa-miR-23c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-3620-5p,0,0,14,8,6,0,8,9,7,17,15,2,9,37,21,27,5
hsa-miR-3620-3p,0,0,3,0,11,0,1,2,9,7,5,2,2,7,5,13,3
hsa-miR-3621,0,0,3,0,0,0,0,3,3,0,0,0,0,3,7,16,3
hsa-miR-3622a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3622a-3p,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
hsa-miR-3622b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3622b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3646,0,0,0,0,15,0,4,0,2,1,0,0,0,1,5,0,0
hsa-miR-3648,0,0,1,0,14,0,0,0,2,0,0,2,2,1,1,13,0
hsa-miR-3649,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,4
hsa-miR-3650,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-3651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3652,0,0,0,2,40,8,7,2,6,3,0,4,8,4,4,58,0
hsa-miR-3654,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-3655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
hsa-miR-3657,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0
hsa-miR-3658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3659,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-3660,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0
hsa-miR-3661,0,0,0,2,9,1,4,2,1,6,3,2,0,0,4,0,0
hsa-miR-3662,0,0,0,0,7,0,0,0,2,1,0,0,0,0,3,0,3
hsa-miR-3663-5p,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3663-3p,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,6,0
hsa-miR-3664-5p,0,0,0,1,9,0,6,0,4,1,1,0,0,0,1,0,0
hsa-miR-3664-3p,0,0,1,0,3,0,0,0,0,3,3,0,4,6,3,0,0
hsa-miR-3665,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0
hsa-miR-3666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3667-5p,0,0,7,18,38,5,10,12,14,17,40,9,23,4,44,7,5
hsa-miR-3667-3p,0,1,2,1,0,1,13,2,16,1,1,1,3,0,6,1,13
hsa-miR-3668,0,0,16,0,14,0,6,1,0,0,3,4,0,6,5,7,9
hsa-miR-3670,0,0,1,3,13,0,0,1,0,0,0,0,2,0,0,0,6
hsa-miR-3671,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3672,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,8,5
hsa-miR-3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-3675-5p,0,0,15,3,16,1,0,5,10,18,2,7,15,7,10,9,0
hsa-miR-3675-3p,0,0,0,0,3,1,0,1,0,3,11,2,5,0,0,4,0
hsa-miR-3677-5p,0,0,0,2,9,0,4,0,6,6,0,2,0,3,0,12,0
hsa-miR-3677-3p,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-3678-5p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3678-3p,0,0,0,3,0,0,0,0,0,1,0,2,2,3,5,0,0
hsa-miR-3679-5p,0,2,276,241,238,2,70,87,2,168,113,20,141,116,178,367,56
hsa-miR-3679-3p,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0
hsa-miR-3680-5p,0,0,0,0,7,0,0,0,6,0,0,0,0,2,0,0,0
hsa-miR-3680-3p,0,0,6,1,10,3,9,1,3,0,0,1,1,0,0,10,3
hsa-miR-3681-5p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-3681-3p,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0
hsa-miR-3682-5p,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,8
hsa-miR-3682-3p,0,0,13,9,18,1,16,3,2,3,5,2,12,7,14,8,0
hsa-miR-3683,0,0,3,3,0,0,2,8,2,2,3,0,4,3,5,8,5
hsa-miR-3684,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0
hsa-miR-3685,0,1,0,4,0,0,0,0,0,0,0,1,4,2,1,8,0
hsa-miR-3686,0,0,0,0,0,0,0,1,0,0,0,0,1,3,7,0,0
hsa-miR-3688-5p,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
hsa-miR-3688-3p,0,0,4,29,94,4,22,14,10,59,45,12,47,25,24,40,21
hsa-miR-3689a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3689a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-3690,0,0,0,4,4,0,0,0,0,0,2,0,1,0,0,0,0
hsa-miR-3691-5p,0,0,6,5,7,0,1,1,0,12,0,0,1,2,1,5,0
hsa-miR-3691-3p,0,0,5,0,0,0,1,0,0,2,0,0,3,3,8,0,0
hsa-miR-3692-5p,1,0,15,0,17,0,5,13,0,5,1,1,0,6,8,20,3
hsa-miR-3692-3p,0,0,5,0,1,0,0,0,2,3,3,0,1,8,0,2,0
hsa-miR-3713,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-3714,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3907,0,0,0,0,11,1,0,0,2,0,0,0,0,0,4,2,0
hsa-miR-3689b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3689b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3908,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3909,0,0,0,0,8,0,3,0,0,0,0,1,0,4,3,2,0
hsa-miR-3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3911,0,0,0,1,0,0,0,0,1,3,0,0,2,12,0,0,0
hsa-miR-3912-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3912-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3913-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3913-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3915,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0
hsa-miR-3916,0,0,19,4,20,5,2,3,9,5,3,0,1,6,7,35,13
hsa-miR-3917,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
hsa-miR-3918,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
hsa-miR-3919,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3150b-5p,0,0,0,0,3,1,0,0,0,2,2,1,2,6,11,0,0
hsa-miR-3150b-3p,0,0,9,1,4,0,0,1,1,3,3,0,0,7,1,0,0
hsa-miR-3920,0,0,12,4,27,0,18,10,7,15,10,4,9,23,25,8,14
hsa-miR-3921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3922-5p,0,0,0,3,0,0,1,4,1,7,1,0,5,6,0,0,0
hsa-miR-3922-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
hsa-miR-3923,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3925-5p,0,0,0,0,14,0,3,5,11,3,11,4,5,0,0,0,0
hsa-miR-3925-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3926,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-3927-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3927-3p,2,0,0,0,4,0,0,0,6,0,2,0,0,0,0,6,0
hsa-miR-676-5p,0,0,0,0,0,2,0,0,3,0,6,0,1,0,0,1,0
hsa-miR-676-3p,0,0,0,1,13,0,6,0,2,1,6,0,1,0,9,5,0
hsa-miR-3928-5p,0,0,0,0,2,0,0,0,1,3,2,0,1,0,0,0,0
hsa-miR-3928-3p,1,4,82,96,151,5,92,117,44,164,122,24,79,109,132,57,7
hsa-miR-3929,0,0,0,0,9,0,0,1,0,0,0,0,0,0,1,12,0
hsa-miR-3934-5p,0,0,0,0,21,1,2,0,0,0,2,0,0,0,3,9,1
hsa-miR-3934-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-3935,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-3936,0,0,1,0,7,0,3,0,0,0,0,2,0,0,1,0,0
hsa-miR-3937,0,0,0,1,13,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-3938,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-548y,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-3939,0,0,1,3,0,0,5,8,6,3,5,1,4,4,7,2,0
hsa-miR-3940-5p,1,0,0,15,9,0,9,3,4,2,0,3,3,20,7,23,6
hsa-miR-3940-3p,0,1,15,23,383,13,43,20,37,55,78,13,104,55,35,125,19
hsa-miR-3941,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3942-5p,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3942-3p,0,0,0,0,0,0,0,0,0,0,1,0,14,3,0,0,0
hsa-miR-3943,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,2,0
hsa-miR-3944-5p,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
hsa-miR-3944-3p,0,2,0,0,8,0,0,0,0,0,0,0,1,4,0,0,0
hsa-miR-3945,0,0,7,1,5,0,0,2,2,0,2,2,6,0,4,4,0
hsa-miR-374c-5p,0,0,0,17,58,1,8,5,7,22,23,4,18,23,5,19,0
hsa-miR-374c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-642b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-642b-3p,0,0,2,0,14,0,0,0,10,0,3,2,0,5,0,0,3
hsa-miR-550b-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-550b-3p,0,0,0,0,5,0,2,1,0,5,1,0,1,0,0,0,0
hsa-miR-548z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548o-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1268b,4,2,5,8,26,0,14,3,8,7,0,0,2,5,19,22,12
hsa-miR-378e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ab,0,0,0,0,0,0,0,0,0,3,0,0,1,3,2,0,0
hsa-miR-4418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-378f,0,1,0,0,13,0,6,1,6,6,0,0,0,5,1,11,0
hsa-miR-4420,0,0,4,4,0,0,2,0,0,0,0,0,0,0,10,0,6
hsa-miR-4421,0,0,0,3,6,0,0,1,2,0,2,0,1,4,2,1,8
hsa-miR-4422,0,0,0,11,21,0,7,9,5,7,13,3,2,10,22,4,0
hsa-miR-4423-5p,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0
