miRNA,advanced adenoma plasma EV 1,advanced adenoma plasma EV 2,advanced adenoma plasma EV 3,advanced adenoma plasma EV 4,advanced adenoma plasma EV 5,advanced adenoma plasma EV 6,colorectal cacer  plasma EV 1,colorectal cacer  plasma EV 2,colorectal cacer  plasma EV 3,colorectal cacer  plasma EV 4,colorectal cacer  plasma EV 5,colorectal cacer  plasma EV 6,healthy donor plasma EV  1,healthy donor plasma EV  2,healthy donor plasma EV  3,healthy donor plasma EV  4,healthy donor plasma EV  5,healthy donor plasma EV  6
hsa-miR-6132,,,,,,,,,,,3,,,,,,,
hsa-miR-615-5p,69,31,21,46,72,193,,9,10,101,847,7,72,23,1,35,6,
hsa-miR-616-5p,,33,6,,,,,,2,13,10,,16,,,,,
hsa-miR-618,,,1,,,,,,,30,48,,8,61,,2,45,
hsa-miR-619-5p,20,52,4,,53,128,15,2,,,,,,,,3,16,
hsa-miR-624-5p,11,,,,,,,,,,,71,17,,60,3,2,
hsa-miR-625-5p,128,192,314,888,466,2054,20,1488,258,350,1416,1042,1184,1588,230,570,234,68
hsa-miR-627-5p,,,1,,,,,9,,,24,,8,,,23,41,
hsa-miR-628-3p,,,,,,,,,,,,,,,,18,,
hsa-miR-628-5p,35,60,16,45,,117,,16,27,22,104,409,42,64,,18,66,
hsa-miR-629-5p,7798,6731,1217,10398,1102,2197,6,2656,1136,4962,15684,976,10013,11259,2980,2192,8235,167
hsa-miR-636,,,9,82,45,103,,20,3,65,62,4,110,33,12,16,45,
hsa-miR-641,,,3,,,,5,9,4,7,22,165,14,40,,7,20,4
hsa-miR-642a-5p,134,171,12,293,253,183,,13,27,50,132,94,102,514,429,26,71,
hsa-miR-642b-5p,1,1,,3,,4,,2,1,,2,,,10,1,3,,
hsa-miR-6501-5p,39,,2,,,,,1,1,,10,1,11,44,,1,16,
hsa-miR-6505-5p,,,,,,,,,1,,,,,,,,,
hsa-miR-6509-3p,,,2,,,,,,,,,,2,,,,1,
hsa-miR-6509-5p,,,,,,,,,,,,,2,,,,3,
hsa-miR-651-5p,,,6,,,,,1,,31,146,126,19,,,6,67,
hsa-miR-6510-5p,,,,,,,,,,4,64,53,,,,1,,
hsa-miR-6511b-5p,,,21,,,189,,,,,,,,,,,,
hsa-miR-6513-3p,,,,,,,,4,,16,30,,20,29,,4,11,
hsa-miR-6513-5p,,,,,,,,6,,16,30,59,20,29,,4,11,
hsa-miR-6515-5p,,7,11,,,72,,,11,10,27,163,,55,,6,54,
hsa-miR-6516-5p,,,12,,,,,10,26,14,10,200,30,32,,16,68,
hsa-miR-652-5p,61,658,39,523,245,117,5,53,146,59,325,140,125,332,23,197,1142,19
hsa-miR-654-5p,63,119,120,939,,110,5,97,105,124,244,821,164,162,35,243,530,5
hsa-miR-655-5p,,,,,,1,,,,,,,,,,,,
hsa-miR-656-5p,,,,,,,,,,,2,,,,,,,4
hsa-miR-659-5p,19,,8,,1,60,,3,5,44,23,51,28,29,153,3,42,
hsa-miR-660-5p,129,74,134,122,300,1,6,206,62,556,1331,12,790,697,17,177,705,62
hsa-miR-664a-5p,59,579,84,712,67,131,3,88,109,107,645,1560,183,436,24,80,204,
hsa-miR-664b-5p,48,,1,,,,,,13,3,,29,,45,3,8,22,
hsa-miR-665,,,,32,,,,,,2,,,,,,,10,
hsa-miR-668-5p,,,,,,,,1,,5,,,,,,,,
hsa-miR-671-5p,135,240,94,476,134,121,,179,205,122,85,177,380,252,476,131,211,
hsa-miR-6716-5p,,,,,,,,4,3,6,,,5,,,,1,
hsa-miR-6718-5p,,,,,,,,2,,,,,,,,,,
hsa-miR-6726-5p,,,6,,,175,,1,1,,,,23,,,,6,
hsa-miR-6727-5p,,,,,,,,,,,,,12,,,1,14,
hsa-miR-6729-5p,23,4,1,,,,,,1,3,5,,,,,4,8,
hsa-miR-6730-5p,,,,,,,,,,,2,,,,,,,
hsa-miR-6732-5p,,,4,,,,,,,,,,,,,,,
hsa-miR-6733-5p,,,,,,,,,,,15,,19,,,1,,
hsa-miR-6734-5p,47,37,5,38,,,,2,9,20,13,37,34,1,56,35,82,
hsa-miR-6735-5p,26,68,9,47,,72,,23,,,,,50,91,,2,,
hsa-miR-6736-5p,,,,,,,,,3,,,,,,,2,3,
hsa-miR-6737-5p,,,1,,,,,,,,4,,,,,,,
hsa-miR-6739-5p,,,,,,,,,,,3,,,,,,,
hsa-miR-6741-5p,66,229,51,,,123,,44,54,40,62,200,44,31,17,35,95,
hsa-miR-6742-5p,,,,,,,,,,,,,,,,,2,
hsa-miR-6743-5p,,,,2,,,,,,,,,,,,,,
hsa-miR-6745,,,,,,,,,,3,5,,,,,2,,
hsa-miR-6746-5p,,,,,,,,,,2,,,,,,,,
hsa-miR-6747-5p,,,,,,13,,44,,69,109,,,120,,,11,
hsa-miR-6748-5p,,,,,,,,,,2,,,,,,,,
hsa-miR-6749-3p,,,6,,,,,,,,,,,,,,7,
hsa-miR-6749-5p,,,,,,,,1,,,,,,,,,,
hsa-miR-675-3p,,,,,,,,,,3,39,,,,,,,
hsa-miR-675-5p,,,,,,,,,,3,45,,,,,,15,
hsa-miR-6750-5p,,54,3,,,,,8,,5,10,45,6,16,,4,17,
hsa-miR-6751-3p,,,,,,,,,3,,,,,,,,,
hsa-miR-6754-5p,,,1,,,,,,3,4,15,,,,,,,
hsa-miR-6755-5p,,,,,,,,,,,2,,,,,,,
hsa-miR-6756-5p,,,2,,,,,,,,,,,,,,,
hsa-miR-6758-5p,,1,2,,,74,,5,4,7,21,,5,,,1,15,
hsa-miR-6759-5p,,,,,,,,,,,,,,,,2,,
hsa-miR-676-3p,,,,,,,,,,,12,,14,,,,,
hsa-miR-676-5p,,,1,,,,,,,,13,,14,,,,,
hsa-miR-6762-3p,25,,3,,,,,,,,4,,,,,,,
hsa-miR-6762-5p,25,,3,,,,,,,,4,,,,,,,
hsa-miR-6763-5p,32,,1,,,,,7,4,,,,,,,5,21,
hsa-miR-6764-5p,,,,,,,,,,,5,,1,,,,,
hsa-miR-6770-5p,,,,,,,,3,25,,,,,,,21,30,
hsa-miR-6774-3p,,,,,,,,,,,12,,,,,,,
hsa-miR-6775-5p,,,1,,,,,,,,5,,,,,,,
hsa-miR-6779-5p,,,,,,,,8,,,,,5,24,7,,,
hsa-miR-6780a-5p,,,2,,,,,,,,,,,,,,,
hsa-miR-6780b-5p,,,,,,,,,,2,,,,,,,7,
hsa-miR-6781-5p,,,10,,,,,14,4,20,40,28,66,,60,,58,
hsa-miR-6782-5p,,,,,,,,,1,,,,,,,,,
hsa-miR-6783-5p,,,,,,,,,,,,,20,,,,,
hsa-miR-6784-5p,,,,,,,,,,,,,,,,,6,
hsa-miR-6785-5p,83,,,,,,,,,4,,,,65,,,3,
hsa-miR-6786-5p,,,4,,,,,5,4,7,,,24,,,4,,
hsa-miR-6788-5p,,,,,,,,,,,,,,,,1,,
hsa-miR-6789-3p,,21,1,,,,,,4,,,,,,,,,
hsa-miR-6791-5p,,,,4,,,,,,,,,3,,,,6,
hsa-miR-6793-5p,,,,,,140,1,,,,5,,4,,,4,,
hsa-miR-6794-5p,,,,,,,,,,4,,,,,,,,
hsa-miR-6796-5p,,,,,,,,,1,,3,,,,,,,
hsa-miR-6798-5p,,,1,,,,,,,,2,,,,,,,
hsa-miR-6799-5p,,,,,,,,1,,,,,,,,,,
hsa-miR-6800-5p,,,,,,,,,,,32,,,,,2,,
hsa-miR-6802-5p,,,,,,114,,,,2,,,,,,,,
hsa-miR-6803-5p,,,,,,,,4,,,,,,,,,4,
hsa-miR-6804-5p,,,,,,,,2,,6,10,,,,,,,
hsa-miR-6805-5p,,,4,28,,,,,2,5,25,73,21,,99,8,24,
hsa-miR-6807-5p,,,,,,,,,,5,,,,,,,4,
hsa-miR-6808-5p,,,5,,,2,,5,1,15,18,18,13,,,9,2,
hsa-miR-6810-5p,,,,,,,,,9,,,,,,,,,
hsa-miR-6812-5p,,,,,,,,2,,3,2,,,,,1,,
hsa-miR-6813-5p,,,,,,,,,,,4,,9,,,,5,
hsa-miR-6815-5p,96,12,10,,,,,28,8,20,70,,134,112,108,30,50,
hsa-miR-6816-5p,,,,,,,,,,,2,,,,,,7,
hsa-miR-6817-5p,,,,,,,,,,,,,,,,1,3,
hsa-miR-6818-3p,,,,,,82,,,,,,,,,,,,
hsa-miR-6818-5p,,,1,,,82,,,,,,,,,,,,
hsa-miR-6819-5p,,,,,,,,2,,3,6,,14,46,,6,,
hsa-miR-6820-5p,,,,,,,,,1,,,,,,,,,
hsa-miR-6821-5p,,,3,,,,,3,,,,,26,,,10,4,
hsa-miR-6824-5p,,,,63,,,,,,,,,,,,,1,
hsa-miR-6827-5p,,,1,,,,,2,,2,8,,,,,6,,
hsa-miR-6834-5p,,,,,,,,,,,,,,,,5,,
hsa-miR-6837-5p,,,7,,,,,5,9,,20,,46,31,,1,13,
hsa-miR-6840-5p,,,,,,,,,,,,,,,,,2,
hsa-miR-6842-3p,292,123,117,504,,157,1,156,189,148,255,553,320,489,278,250,743,7
hsa-miR-6848-5p,,,,,,,,,,6,,,,,,,2,
hsa-miR-6850-5p,,94,7,142,,,,13,1,10,43,,19,42,43,9,27,2
hsa-miR-6851-5p,,,,,,,,,,,,,,,,,5,
hsa-miR-6852-5p,,85,10,62,,7,6,50,145,14,70,2,150,45,,64,348,
hsa-miR-6855-5p,,2,,67,,,,2,,7,17,54,19,35,,,17,
hsa-miR-6858-5p,,,,,,,,,,,7,,,,,1,,
hsa-miR-6861-3p,,17,1,,,,,,,,,,,,,,,
hsa-miR-6861-5p,,,,,,,,,,,,,,,,3,,
hsa-miR-6862-5p,96,,,,,,,,8,,,,,15,,,,
hsa-miR-6866-5p,,,4,,,,,8,3,10,41,68,12,,,5,9,
hsa-miR-6867-5p,,,,,,,,,,,,,,,,,3,
hsa-miR-6869-5p,,,,,,,,,,,,,,34,,,1,
hsa-miR-6876-5p,,,,,,,,,,,2,,,,,,,
hsa-miR-6877-5p,63,266,5,148,105,,1,22,10,25,39,,89,45,,13,38,2
hsa-miR-6878-5p,,,,,,,,,,,,,21,,,,,
hsa-miR-6879-3p,,,,,,,,,,,,,,,,,,3
hsa-miR-6879-5p,,,,,,,,,,,,,,,,,,3
hsa-miR-6881-5p,,244,4,,,,,8,,4,,,38,,,,,
hsa-miR-6883-5p,,,,,,,,7,,4,3,,,,,,,
hsa-miR-6885-3p,,,1,,,,,,4,,,,,,,,,
hsa-miR-6885-5p,,,1,,,,,,4,,2,,,,,,4,
hsa-miR-6889-5p,,,,,,,,,,,2,,,,,,,
hsa-miR-6890-5p,,,,,,,,1,,,,,,,,,,
hsa-miR-6894-5p,,,3,,,14,,8,5,,,,,31,,4,,
hsa-miR-6895-5p,,,,,,,,,,,,10,,,,,,
hsa-miR-7-5p,1272,2704,2484,1528,1580,,120,2237,1483,4709,14225,12700,9840,5805,1052,3172,7976,424
hsa-miR-708-5p,,1,,,,3,,,,,271,,,,,,,
hsa-miR-7109-5p,,,1,,,,,,,,,,,,,,,
hsa-miR-7110-3p,,32,2,,,,,6,11,2,4,22,20,36,,,3,
hsa-miR-7110-5p,,32,,28,,,,,,4,4,22,20,36,,,3,
hsa-miR-7114-5p,,,,,,,,,,,2,,,,,,5,
hsa-miR-7151-5p,,,3,,,,,,,,,100,,,,2,,
hsa-miR-7152-5p,,,,,,,,,,,4,,,,,,,
hsa-miR-7155-5p,59,,,144,86,173,,,,,,52,,45,174,,,
hsa-miR-758-5p,,,7,49,,1,3,4,35,5,4,27,13,,,21,36,
hsa-miR-760,211,737,90,1840,52,1,,108,223,139,339,169,398,525,709,232,654,9
hsa-miR-766-5p,,418,,,,4,2,76,248,48,,,,92,2,126,212,8
hsa-miR-769-5p,105,369,54,241,1,1,8,104,111,163,208,4,275,542,210,121,453,9
hsa-miR-770-5p,,,,,,,,1,1,,,,,,,,,
hsa-miR-7702,,,,,,,,,1,,7,,,,,,,
hsa-miR-7704,,,,32,,,,,,,,,48,,,,,316
hsa-miR-7705,,,,,,,,,,,,,,,,,10,
hsa-miR-7706,469,650,252,717,169,677,,359,164,497,519,841,1305,1105,148,156,449,13
hsa-miR-7847-3p,,,,,,,,,,,,,,,,,6,
hsa-miR-7848-3p,,,2,,,53,,12,8,,,16,,,,4,,
hsa-miR-7849-3p,,79,8,,,,,,,,6,182,,37,,,13,
hsa-miR-7850-5p,,,1,,,,,,,,10,,,,,,8,
hsa-miR-7852-3p,,,,,,,6,,,,,,,,,,,
hsa-miR-7854-3p,72,130,20,,,,,48,,38,100,168,,90,,60,90,
hsa-miR-7855-5p,,,,,,,,,,3,,,,,,,,
hsa-miR-7856-5p,,,3,,,,,,,,,,,,,,,
hsa-miR-7976,73,134,21,32,1,142,,28,9,68,221,117,175,,14,27,113,3
hsa-miR-8072,25,,,,,309,,,,,,,24,50,39,,1,
hsa-miR-8089,,,,,,,,,,,,,,1,,,,
hsa-miR-873-5p,,48,1,,,,,,,,,,,,,1,,
hsa-miR-874-5p,,65,,,,,,,5,76,237,1,101,50,,38,86,2
hsa-miR-876-5p,,,,,,,,,,,,,,,,,2,
hsa-miR-885-5p,32,93,8,,,74,,3,,31,26,,69,67,,12,22,
hsa-miR-887-3p,,,,,,,,,,2,,,,,,,3,
hsa-miR-887-5p,,,,,,,,,,2,,,,,,,3,
hsa-miR-888-5p,,,,,,,,,,,5,,,,,,,
hsa-miR-889-5p,,,11,,,157,5,4,5,,24,81,28,,,14,34,
hsa-miR-891a-5p,,,,,,,,,3,,,,,,,,,
hsa-miR-892a,,,,,,,,,,,39,,,,,,,
hsa-miR-892c-5p,,,,,,,,,,,3,,,,,,,
hsa-miR-9-5p,,,9,,,6,18,6,6,,103,678,51,147,,12,72,77
hsa-miR-92a-1-5p,61956,16032,11999,21526,10314,66091,256,19617,6178,32723,51030,7387,89963,36972,24809,12866,18389,2186
hsa-miR-92a-2-5p,61684,15836,11865,21531,10315,65492,228,19382,6007,32510,50832,7069,89359,36555,24745,12668,18147,2135
hsa-miR-92b-5p,,,136,,283,1276,1,,58,251,,447,,,,,,
hsa-miR-93-5p,198,1039,322,526,397,702,30,428,280,1084,2154,1764,1024,489,216,298,891,115
hsa-miR-933,,,,,,,,4,,,25,,19,,,,6,
hsa-miR-934,,,,,,,,,,1,,,,,,,,
hsa-miR-939-5p,302,510,56,136,,506,2,64,66,34,108,4,50,,486,42,144,
hsa-miR-942-5p,266,468,46,86,192,328,1,75,50,192,376,806,354,254,140,144,454,13
hsa-miR-943,,,,,,,,1,1,,5,,,,,,1,
hsa-miR-944,,,,,,,,,,,6,,,,,,,
hsa-miR-95-5p,19,,11,,,,2,5,2,93,1016,21,29,94,,15,34,9
hsa-miR-96-5p,88,,,,,,,,,68,57,163,123,39,,17,385,13
hsa-miR-98-5p,131,1117,95,1416,158,629,33,138,1039,70,407,3289,423,621,1077,559,941,39
hsa-miR-9903,,,,,,,,,,,,,,,,,6,
hsa-miR-9983-3p,,,,,,,,,,,3,,,,,,,
hsa-miR-9985,,,,,2,9,,,,,,,,,,,22,
hsa-miR-99a-5p,7043,13781,7369,12201,9235,10766,970,7073,4429,68419,536451,45365,50611,79485,9584,16425,48314,1344
hsa-miR-99b-5p,,1462,,,1095,,,,575,,10401,,,,,,,77
